Image Owner Id,Tenant Name,Tenant External URL,Image Id,Image Name,Visibility,Unused,Direct URL,Image_Updated_on
0420524949924489b9b2f5fc2d1ffb49,gslb-rtp,https://cloud-rtp-1.cisco.com:5000/v3,a051c302-a3fb-4472-a1f1-56bf637adc82,Avi-SE-17.2.13-9168-cloud-afc650c3-8a1a-44b6-9573-cf93e8bc7f02-cluster-35f7e80e-7c69-422c-ba47-324135790de3,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/a051c302-a3fb-4472-a1f1-56bf637adc82/snap,2018-12-14T13:10:11Z
0420524949924489b9b2f5fc2d1ffb49,gslb-rtp,https://cloud-rtp-1.cisco.com:5000/v3,6e952411-13f6-43e5-8a92-b9de0cbbc0f6,controller-17.2.14-9128,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/6e952411-13f6-43e5-8a92-b9de0cbbc0f6/snap,2019-02-13T22:34:23Z
0420524949924489b9b2f5fc2d1ffb49,gslb-rtp,https://cloud-rtp-1.cisco.com:5000/v3,32ba5037-64d5-4f6c-81c5-6e7a9d935b4a,controller-17.2.13-9168,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/32ba5037-64d5-4f6c-81c5-6e7a9d935b4a/snap,2018-12-07T00:45:30Z
05ce976d16494da584c7fc402736960e,CX Labs SOC API,https://cloud-rtp-1.cisco.com:5000/v3,03fa29ea-30e8-427d-b805-5110d1f6dab3,Ubuntu Cloud 18.04,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/03fa29ea-30e8-427d-b805-5110d1f6dab3/snap,2019-01-29T23:11:11Z
f8cdafc8861b4e0ab29362101c9c63ce,SSO-POC-FIP-NET,https://cloud-rtp-1.cisco.com:5000/v3,9169b54e-78f5-4a80-81d8-2c83fffbd1d0,CentOS-7-Generic,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/9169b54e-78f5-4a80-81d8-2c83fffbd1d0/snap,2018-08-28T19:20:38Z
785634f33bad4c8caadbb9f5baa796c7,mcmp-dev-1,https://cloud-rtp-1.cisco.com:5000/v3,6f7dd451-d885-4d2f-8e90-0a28fa9d0372,RHEL-7_4-MG,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/6f7dd451-d885-4d2f-8e90-0a28fa9d0372/snap,2019-02-17T04:14:04Z
0b05b56429914a7a9eef391573c54bb5,CIPS BizMgmt,https://cloud-rtp-1.cisco.com:5000/v3,b5a0e429-6c73-4ff4-b92d-05c592ca3267,existing_spencer_scripting_6_14,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/b5a0e429-6c73-4ff4-b92d-05c592ca3267/snap,2018-06-14T20:41:42Z
785634f33bad4c8caadbb9f5baa796c7,mgd-val-poc,https://cloud-rtp-1.cisco.com:5000/v3,6f7dd451-d885-4d2f-8e90-0a28fa9d0372,RHEL-7_4-MG,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/6f7dd451-d885-4d2f-8e90-0a28fa9d0372/snap,2019-02-17T04:14:04Z
10c6464ca380486c9c2fd77cbbcf7796,modelapp,https://cloud-rtp-1.cisco.com:5000/v3,4bf9caf6-4e31-44be-b7ba-4571720833a6,ubuntu-18.04-Generic,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/4bf9caf6-4e31-44be-b7ba-4571720833a6/snap,2018-07-13T11:59:38Z
178dd10c1de74228a6c72bcab4c2d2d4,clouddb-automation,https://cloud-rtp-1.cisco.com:5000/v3,ae895ff9-93d1-44a3-b8c1-91642731abbe,sb-test1-ss,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/ae895ff9-93d1-44a3-b8c1-91642731abbe/snap,2018-03-29T18:50:31Z
