Image Owner Id,Tenant Name,Tenant External URL,Image Id,Image Name,Visibility,Unused,Direct URL,Image_Updated_on
f8cdafc8861b4e0ab29362101c9c63ce,IMCDEV-NPD-RTP,https://cloud-rtp-1.cisco.com:5000/v3,c5be7815-719e-4524-b474-e61a8b51046c,CENTOS-7-CORE,public,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/c5be7815-719e-4524-b474-e61a8b51046c/snap,2019-01-18T04:35:42Z
f8cdafc8861b4e0ab29362101c9c63ce,IMCDEV-NPD-RTP,https://cloud-rtp-1.cisco.com:5000/v3,2ac77ffd-eec2-4709-80df-a233e05a0b6f,UBUNTU-18.04-CORE,public,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/2ac77ffd-eec2-4709-80df-a233e05a0b6f/snap,2019-02-13T20:44:07Z
f8cdafc8861b4e0ab29362101c9c63ce,IMCDEV-NPD-RTP,https://cloud-rtp-1.cisco.com:5000/v3,9a93f2b7-6a59-4984-9847-90bca466c5eb,RHEL-7-CORE,public,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/9a93f2b7-6a59-4984-9847-90bca466c5eb/snap,2018-05-04T21:20:17Z
f8cdafc8861b4e0ab29362101c9c63ce,IMCDEV-NPD-RTP,https://cloud-rtp-1.cisco.com:5000/v3,bf9eb691-cf56-4065-a2d1-b7bff1cf24fc,UBUNTU-16.04-CORE,public,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/bf9eb691-cf56-4065-a2d1-b7bff1cf24fc/snap,2018-05-04T21:31:12Z
f8cdafc8861b4e0ab29362101c9c63ce,Test,https://cloud-rtp-1.cisco.com:5000/v3,c5be7815-719e-4524-b474-e61a8b51046c,CENTOS-7-CORE,public,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/c5be7815-719e-4524-b474-e61a8b51046c/snap,2019-01-18T04:35:42Z
f8cdafc8861b4e0ab29362101c9c63ce,Test,https://cloud-rtp-1.cisco.com:5000/v3,9a93f2b7-6a59-4984-9847-90bca466c5eb,RHEL-7-CORE,public,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/9a93f2b7-6a59-4984-9847-90bca466c5eb/snap,2018-05-04T21:20:17Z
f8cdafc8861b4e0ab29362101c9c63ce,Test,https://cloud-rtp-1.cisco.com:5000/v3,bf9eb691-cf56-4065-a2d1-b7bff1cf24fc,UBUNTU-16.04-CORE,public,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/bf9eb691-cf56-4065-a2d1-b7bff1cf24fc/snap,2018-05-04T21:31:12Z
0420524949924489b9b2f5fc2d1ffb49,gslb-rtp,https://cloud-rtp-1.cisco.com:5000/v3,a051c302-a3fb-4472-a1f1-56bf637adc82,Avi-SE-17.2.13-9168-cloud-afc650c3-8a1a-44b6-9573-cf93e8bc7f02-cluster-35f7e80e-7c69-422c-ba47-324135790de3,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/a051c302-a3fb-4472-a1f1-56bf637adc82/snap,2018-12-14T13:10:11Z
f8cdafc8861b4e0ab29362101c9c63ce,gslb-rtp,https://cloud-rtp-1.cisco.com:5000/v3,bf9eb691-cf56-4065-a2d1-b7bff1cf24fc,UBUNTU-16.04-CORE,public,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/bf9eb691-cf56-4065-a2d1-b7bff1cf24fc/snap,2018-05-04T21:31:12Z
0420524949924489b9b2f5fc2d1ffb49,gslb-rtp,https://cloud-rtp-1.cisco.com:5000/v3,6e952411-13f6-43e5-8a92-b9de0cbbc0f6,controller-17.2.14-9128,private,True,rbd://8ca1baff-4227-449c-868a-2836d8798581/cloud-rtp-1-fab3-glance/6e952411-13f6-43e5-8a92-b9de0cbbc0f6/snap,2019-02-13T22:34:23Z
